"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"16-Nov-2023","EQ","2,351.10","2,374.15","2,346.95","2,356.45","2,358.00","2,360.70","2,363.74","2,630.95","2,220.30","65,67,455","15,52,37,61,404.10","1,79,828"
"15-Nov-2023","EQ","2,340.00","2,361.95","2,327.00","2,314.60","2,356.10","2,356.45","2,346.76","2,630.95","2,220.30","61,10,324","14,33,94,87,044.50","1,88,402"
"13-Nov-2023","EQ","2,322.90","2,324.60","2,311.70","2,330.65","2,315.10","2,314.60","2,316.15","2,630.95","2,220.30","19,27,405","4,46,41,62,629.45","1,01,023"
"12-Nov-2023","EQ","2,326.05","2,332.00","2,322.50","2,314.90","2,330.90","2,330.65","2,328.71","2,630.95","2,220.30","7,09,922","1,65,32,02,914.45","54,331"
"10-Nov-2023","EQ","2,305.55","2,316.35","2,298.05","2,310.55","2,315.90","2,314.90","2,308.66","2,630.95","2,220.30","38,67,477","8,92,86,95,452.35","1,44,846"
"09-Nov-2023","EQ","2,335.85","2,335.90","2,304.20","2,335.90","2,311.45","2,310.55","2,316.51","2,630.95","2,220.30","72,56,805","16,81,04,55,976.65","2,64,597"
"08-Nov-2023","EQ","2,332.00","2,341.00","2,321.75","2,323.80","2,333.75","2,335.90","2,335.80","2,630.95","2,220.30","39,42,247","9,20,82,87,625.15","1,50,160"
"07-Nov-2023","EQ","2,334.05","2,339.10","2,319.55","2,339.00","2,323.10","2,323.80","2,328.29","2,630.95","2,220.30","34,80,102","8,10,26,78,736.35","1,64,587"
"06-Nov-2023","EQ","2,332.30","2,340.00","2,325.60","2,319.70","2,339.00","2,339.00","2,334.20","2,630.95","2,220.30","53,23,652","12,42,64,55,971.70","1,59,387"
"03-Nov-2023","EQ","2,327.20","2,334.95","2,315.75","2,320.20","2,319.00","2,319.70","2,325.94","2,630.95","2,220.30","44,25,078","10,29,24,87,339.95","1,57,991"
"02-Nov-2023","EQ","2,313.95","2,324.30","2,307.95","2,297.40","2,319.00","2,320.20","2,316.45","2,630.95","2,220.30","52,81,052","12,23,32,75,556.75","1,56,658"
"01-Nov-2023","EQ","2,289.15","2,317.50","2,275.20","2,287.90","2,294.70","2,297.40","2,301.86","2,630.95","2,220.30","51,54,595","11,86,51,33,915.60","1,72,384"
"31-Oct-2023","EQ","2,328.00","2,328.00","2,282.90","2,312.50","2,289.00","2,287.90","2,302.76","2,630.95","2,220.30","64,04,219","14,74,73,54,996.70","2,85,198"
"30-Oct-2023","EQ","2,274.00","2,325.00","2,269.95","2,265.80","2,309.00","2,312.50","2,310.35","2,630.95","2,220.30","84,06,652","19,42,22,70,423.05","3,52,375"
"27-Oct-2023","EQ","2,240.00","2,273.50","2,235.95","2,226.50","2,266.15","2,265.80","2,262.35","2,630.95","2,220.30","58,85,542","13,31,51,43,153.75","2,47,495"
"26-Oct-2023","EQ","2,251.00","2,258.00","2,220.30","2,257.95","2,223.00","2,226.50","2,232.86","2,630.95","2,220.30","76,11,267","16,99,49,10,102.90","3,49,499"
"25-Oct-2023","EQ","2,250.05","2,281.20","2,243.00","2,263.20","2,256.00","2,257.95","2,261.49","2,630.95","2,243.00","58,10,344","13,14,00,35,999.60","2,76,253"
"23-Oct-2023","EQ","2,290.00","2,306.25","2,255.25","2,299.10","2,262.90","2,263.20","2,283.24","2,630.95","2,255.25","39,26,981","8,96,62,23,109.05","2,29,519"
"20-Oct-2023","EQ","2,300.00","2,314.70","2,296.30","2,306.15","2,296.60","2,299.10","2,302.59","2,630.95","2,295.00","44,56,656","10,26,18,59,218.60","2,36,801"
"19-Oct-2023","EQ","2,312.00","2,321.80","2,301.00","2,324.00","2,304.65","2,306.15","2,310.08","2,630.95","2,295.00","60,16,278","13,89,81,02,710.85","3,06,999"
"18-Oct-2023","EQ","2,355.25","2,367.00","2,321.00","2,355.25","2,321.40","2,324.00","2,341.91","2,630.95","2,295.00","44,59,160","10,44,29,44,805.70","1,97,131"
"17-Oct-2023","EQ","2,356.00","2,359.70","2,341.30","2,344.05","2,356.20","2,355.25","2,350.51","2,630.95","2,295.00","39,64,090","9,31,76,49,591.75","1,32,520"
"16-Oct-2023","EQ","2,345.00","2,354.55","2,336.00","2,349.30","2,345.80","2,344.05","2,346.59","2,630.95","2,295.00","29,64,518","6,95,65,22,674.05","1,74,031"
